source_category_id,target_category_id,relation,evidence
category:52b69d58ca7f96f8,category:6c51008f1f3d1e12,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:f505f7125c0f6f67,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:3c31f1710ab955bd,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:d0037aeb52bcf32f,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:acbf30a13a48182a,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:bcc8bdd16b6180ce,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:5271c49a33ca9e9e,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:3a22b9d9a9440208,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:3ffeca1be818ee93,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:3b77f8ccc46eb67d,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:3011d77f6c2da53f,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:a65fabbe347fa306,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:7ccb18bb176e1851,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:39b177b05e7e9d63,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:9b475912d5dc89be,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:8c0ca0a887c7c5e8,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:28025d61221db0a6,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:06e88d268d2d1391,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:1506f60df667dbb2,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:344f1c87c35f2e65,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:d689bd3a6817f3c0,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:28ed6ea20598397d,RELATED_LINK,data\raw\zara\discovery\1066.json
category:a90746e9b12ca312,category:d466f95da1e8eced,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:a5b3626926846f0b,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:61bfa8198472b8bf,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:97787d9f86820684,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:28187e18bcbcb457,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:5069281f29a1ff75,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:7d11bbc8108fb596,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:37dc724bd80c1c40,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:7646b21c5fe650c0,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:24daa9d3ba40a780,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:4432feb00c7edf95,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:28572a343e2c429d,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:fed151a9d65b8ad3,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:8b8145fc7f2ad196,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:8c927193a3b40740,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:4fabffd358edf819,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:7ff51dc7957a0a2c,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:734578e41a3f8fea,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:0c73b89bcddff9ce,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:7e50906a999ec3af,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:d0f80555e2c06f52,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:1fd02aa46dd180cf,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:37a4fc360fc57a38,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:54cdda3c354f0d77,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:d3dcf6c68807049d,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:93bb337d27e06b4d,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:5c7dd0615b3b0aa8,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:eb5bae8f1b82f340,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:2b6d0cbeb1053c3c,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:b4a263e99cecb697,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:c02c58555d24d51a,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:51722dd38abdd1cb,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:b8f2003d5b630a6d,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:31967ffd8526d619,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:ef79297b7a465839,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:de8b8e048badf9de,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:92d87157bfe4c137,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:d9d8e46557c98bec,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:5d492e64a36987f3,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:e571a2bc5f5180d9,RELATED_LINK,data\raw\zara\discovery\1651.json
category:a90746e9b12ca312,category:5f56f3c1ba2c98ca,RELATED_LINK,data\raw\zara\discovery\1651.json
category:5fef2668deb47355,category:25c9417fba67de39,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:fddee08b1d9b3ebb,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:d280084976e53695,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:467fd38657bfd668,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:7f82aadbde310d6e,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:c09015cfe6a984fd,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:7646b21c5fe650c0,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:2c4a5863c813b5ee,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:e5bea6e3867aa001,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:9b53282c363d9d71,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:5a9cf10d56051d37,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:7e78d3be6d7c9174,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:5f59c07a6fd1725b,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:c596c1e2efebefde,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:2e610c19e30d8431,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:12f261f83e72a881,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:c5ab2427ffab4133,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:25247cba85667883,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:90cc12c57e779476,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:4618ddd0488f15c7,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:67ae6741c8034dac,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:e16bc65c15899d9d,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:e1c79596ba9ed8b8,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:c02c58555d24d51a,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:a5b3626926846f0b,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:97787d9f86820684,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:28187e18bcbcb457,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:a90746e9b12ca312,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:5069281f29a1ff75,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:7d11bbc8108fb596,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:51722dd38abdd1cb,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:b8f2003d5b630a6d,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:31967ffd8526d619,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:ef79297b7a465839,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:de8b8e048badf9de,RELATED_LINK,data\raw\zara\discovery\1657.json
category:5fef2668deb47355,category:92d87157bfe4c137,RELATED_LINK,data\raw\zara\discovery\1657.json
